name,camp,class,type,cost,capacity,adirondacks,cots,electricity,stove,refrigerator,water,restroom,fireplace,heat,pavilion,firepit,parking,cubs
Schweiker Lodge,Delmont,First Class,Cabin,300,30,0,TRUE,TRUE,Stove & Oven,TRUE,In Cabin,Full Washroom,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Dan Beard,Delmont,Tenderfoot,Cabin,100,39,0,TRUE,TRUE,Stovetop,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Woods Lane,Delmont,Tenderfoot,Cabin,100,39,0,TRUE,TRUE,Stovetop,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Castle Rock,Delmont,Tenderfoot,Cabin,100,39,0,TRUE,TRUE,Stovetop,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Gren Day,Delmont,Tenderfoot,Cabin,60,14,0,TRUE,TRUE,Stovetop,FALSE,Nearby,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Spaid Lodge,Delmont,Rustic,Cabin,60,18,0,TRUE,FALSE,None,FALSE,None,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Pioneer Lodge,Delmont,Rustic,Cabin,75,18,0,TRUE,FALSE,None,FALSE,None,Latrine,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Lucien Maxwell Lodge,Delmont,Rustic,Cabin,75,16,0,TRUE,FALSE,None,FALSE,None,Latrine,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
OA Lean Tos,Delmont,Rustic,Cabin,50,24,6,FALSE,FALSE,None,FALSE,Nearby,None,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Site 1,Delmont,Tent Camping,Tent Site,50,30,0,FALSE,FALSE,None,FALSE,Nearby,None,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Site 2,Delmont,Tent Camping,Tent Site,50,30,0,FALSE,FALSE,None,FALSE,Nearby,None,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Site 3,Delmont,Tent Camping,Tent Site,50,30,0,FALSE,FALSE,None,FALSE,Nearby,None,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Site 4,Delmont,Tent Camping,Tent Site,50,30,0,FALSE,FALSE,None,FALSE,Nearby,None,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Site 5 (Lake),Delmont,Tent Camping,Tent Site,50,30,0,FALSE,FALSE,None,FALSE,Nearby,None,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Korman Lodge,Hart,First Class,Cabin & Site,175,16,0,TRUE,TRUE,Stove & Oven,TRUE,In Cabin,Full Washroom,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Park Lodge,Hart,First Class,Cabin,175,16,0,TRUE,TRUE,Stove & Oven,TRUE,In Cabin,Full Washroom,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Perry Long Lodge,Hart,Tenderfoot,Cabin,125,12,0,TRUE,TRUE,Stove & Oven,TRUE,In Cabin,Latrine,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Dick Smith,Hart,Tenderfoot,Cabin & Site,100,39,3,FALSE,TRUE,None,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Yellow Bear,Hart,Tenderfoot,Cabin & Site,100,39,3,FALSE,TRUE,None,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Red Fox,Hart,Tenderfoot,Cabin & Site,100,39,3,FALSE,TRUE,None,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gold Stag,Hart,Rustic,Cabin & Site,100,39,2,FALSE,FALSE,None,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Green Turtle,Hart,Rustic,Cabin & Site,100,39,3,FALSE,FALSE,None,FALSE,Nearby,Latrine,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Staff Adirondacks,Hart,Rustic,Tent Site,60,32,8,FALSE,FALSE,None,FALSE,Nearby,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Owl,Hart,Tent Camping,Tent Site,50,38,1,FALSE,FALSE,None,FALSE,Nearby,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Falcon,Hart,Tent Camping,Tent Site,50,30,1,FALSE,FALSE,None,FALSE,Nearby,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Pheasant,Hart,Tent Camping,Tent Site,50,30,1,FALSE,FALSE,None,FALSE,Nearby,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Turkey,Hart,Tent Camping,Tent Site,50,22,1,FALSE,FALSE,None,FALSE,Nearby,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Hawk,Hart,Tent Camping,Tent Site,50,32,1,FALSE,FALSE,None,FALSE,Nearby,Latrine,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Medieval Castle,Garrison,First Class,Cabin & Site,300,40,0,TRUE,TRUE,Stove & Oven,TRUE,In Cabin,Full Washroom,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Fort Akela,Garrison,First Class,Cabin & Site,300,40,0,TRUE,TRUE,Stove & Oven,TRUE,In Cabin,Full Washroom,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
USS Cradle of Liberty,Garrison,First Class,Cabin & Site,300,40,0,TRUE,TRUE,Stove & Oven,TRUE,In Cabin,Full Washroom,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Native American Village,Garrison,Tent Camping,Tent Site,150,40,0,FALSE,TRUE,Stove & Oven,TRUE,In Cabin,Full Washroom,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
